,Artist,Bio,Birth Year,Death Year,From Artists Family,Early Talent,Academy,Formed Other Artists,Equality Activist,Traveler,Prolific,Writings,Own Museum,Score,Century
0,Anna Ancher,https://en.wikipedia.org/wiki/Anna_Ancher,1859,1935,False,True,False,False,False,True,False,False,True,3,19
1,Lola Anglada,https://en.wikipedia.org/wiki/Lola_Anglada,1893,1984,False,False,False,False,True,False,False,False,False,1,20
2,Catharina Backer,https://en.wikipedia.org/wiki/Catharina_Backer,1689,1766,False,False,False,False,False,False,False,False,False,0,18
3,Alice Bailly,https://en.wikipedia.org/wiki/Alice_Bailly,1872,1938,False,False,False,False,False,False,False,False,False,0,19
4,Mary Beale,https://en.wikipedia.org/wiki/Mary_Beale,1633,1699,True,False,False,True,False,False,False,True,False,3,17
5,Cecilia Beaux,https://en.wikipedia.org/wiki/Cecilia_Beaux,1855,1942,False,False,True,False,False,True,False,True,False,3,19
6,María Blanchard,https://en.wikipedia.org/wiki/Mar%C3%ADa_Blanchard,1881,1932,False,True,False,True,False,True,False,True,False,4,20
7,Rosa Bonheur,https://en.wikipedia.org/wiki/Rosa_Bonheur,1822,1899,True,True,True,True,True,False,False,False,True,6,19
8,Marie Bracquemond,https://en.wikipedia.org/wiki/Marie_Bracquemond,1840,1916,False,True,False,False,False,False,False,False,False,1,19
9,Louise Catherine Breslau,https://en.wikipedia.org/wiki/Louise_Catherine_Breslau,1856,1927,False,False,True,False,True,True,False,False,False,3,19
10,Elena Brockmann,https://en.wikipedia.org/wiki/Elena_Brockmann,1867,1946,False,False,False,False,False,False,False,False,False,0,19
11,Henriette Browne,https://en.wikipedia.org/wiki/Henriette_Browne,1829,1901,False,False,True,False,True,True,False,False,False,3,19
12,Catterina Cantoni,https://research.rkd.nl/en/detail/https%3A%2F%2Fdata.rkd.nl%2Fartists%2F506748,1530,1605,True,False,False,False,False,False,False,False,False,1,16
13,Mary Cassatt,https://en.wikipedia.org/wiki/Mary_Cassatt,1844,1926,False,True,False,False,True,True,True,True,False,5,19
14,Marie Cazin,https://en.wikipedia.org/wiki/Marie_Cazin,1844,1924,False,False,False,False,False,False,False,False,False,0,19
15,Camille Claudel,https://en.wikipedia.org/wiki/Camille_Claudel,1864,1943,False,True,False,False,False,False,False,True,True,3,19
16,Marie-Anne Collot,https://en.wikipedia.org/wiki/Marie-Anne_Collot,1748,1821,False,True,True,False,False,True,False,False,False,3,18
17,Elin Danielson-Gambogi,https://en.wikipedia.org/wiki/Elin_Danielson-Gambogi,1861,1919,False,True,False,False,False,True,False,False,False,2,19
18,Sonia Delaunay,https://en.wikipedia.org/wiki/Sonia_Delaunay,1885,1979,False,True,False,False,True,True,False,True,False,4,20
19,Françoise Duparc,https://en.wikipedia.org/wiki/Fran%C3%A7oise_Duparc,1726,1778,True,True,False,False,False,True,False,False,False,3,18
20,Félicie de Fauveau,https://en.wikipedia.org/wiki/F%C3%A9licie_de_Fauveau,1801,1886,False,False,False,False,False,True,False,False,False,1,19
21,Lavinia Fontana,https://en.wikipedia.org/wiki/Lavinia_Fontana,1552,1614,True,True,True,True,False,False,True,True,False,6,16
22,Helene Funke,https://en.wikipedia.org/wiki/Helene_Funke,1869,1957,False,False,True,True,True,False,False,False,False,3,19
23,Fede Galizia,https://en.wikipedia.org/wiki/Fede_Galizia,1578,1630,True,True,False,False,False,False,False,False,False,2,16
24,Eloisa Garnelo,https://es.wikipedia.org/wiki/Elo%C3%ADsa_Garnelo_Aparicio,1863,1907,True,True,False,False,False,False,False,False,False,2,19
25,Giovanna Garzoni,https://en.wikipedia.org/wiki/Giovanna_Garzoni,1600,1670,True,False,True,False,False,True,False,True,False,4,17
26,Artemisia Gentileschi,https://en.wikipedia.org/wiki/Artemisia_Gentileschi,1593,1656,True,True,True,True,True,True,False,True,False,7,17
27,Alejandrina Gessler ,https://en.wikipedia.org/wiki/Alejandrina_Gessler_y_Lacroix,1831,1907,False,False,True,False,True,False,False,True,False,3,19
28,Marie Éléonore Godefroid,https://en.wikipedia.org/wiki/Marie-%C3%89l%C3%A9onore_Godefroid,1778,1849,True,True,False,False,False,False,False,False,False,2,18
29,Natalia Goncharova,https://en.wikipedia.org/wiki/Natalia_Goncharova,1881,1962,False,False,False,True,False,True,True,False,False,3,20
30,Alice Havers,https://en.wikipedia.org/wiki/Alice_Havers,1850,1890,False,False,False,False,False,False,False,False,False,0,19
31,Johanna Helena Herolt,https://en.wikipedia.org/wiki/Johanna_Helena_Herolt,1668,1723,True,False,False,False,False,True,False,False,False,2,17
32,Frida Kahlo,https://en.wikipedia.org/wiki/Frida_Kahlo,1907,1954,True,False,False,True,True,False,False,True,True,5,20
33,Angelica Kauffmann ,https://en.wikipedia.org/wiki/Angelica_Kauffman,1741,1807,True,True,True,False,False,True,True,False,True,6,18
34,Käthe Kollwitz,https://en.wikipedia.org/wiki/K%C3%A4the_Kollwitz,1867,1945,False,True,True,True,True,False,False,False,True,5,19
35,Adélaïde Labille-Guiard ,https://en.wikipedia.org/wiki/Ad%C3%A9la%C3%AFde_Labille-Guiard,1749,1803,False,False,True,True,True,False,False,False,False,3,18
36,Marie Laurencin,https://en.wikipedia.org/wiki/Marie_Laurencin,1883,1956,False,True,False,True,False,False,False,True,False,3,20
37,Antonia Lavauguyon,https://www.investigart.com/2019/11/26/mujeres-academicas-en-la-real-academia-de-bellas-artes-de-san-fernando/,1788,1956,False,False,True,False,False,False,False,False,False,1,19
38,Tamara de Lempicka ,https://en.wikipedia.org/wiki/Tamara_de_Lempicka,1898,1980,False,False,True,False,False,True,False,False,False,2,20
39,Judith Leyster,https://en.wikipedia.org/wiki/Judith_Leyster,1609,1660,False,True,True,True,False,False,False,False,False,3,17
40,Elena Luksch-Makowsky ,https://en.wikipedia.org/wiki/Elena_Luksch-Makowsky,1878,1967,True,False,False,False,False,True,False,False,False,2,19
41,Victoria Malinowska,https://apintoresyescultores.es/victoria-malinowska/,1849,1967,False,False,False,False,False,True,False,False,False,1,19
42,Maruja Mallo,https://en.wikipedia.org/wiki/Maruja_Mallo,1902,1995,False,True,True,True,False,True,False,True,False,5,20
43,Victoria Martín,https://www.wikidata.org/wiki/Q6161536,1794,1869,False,False,True,True,False,False,False,False,False,2,19
44,Jacqueline Marval,https://en.wikipedia.org/wiki/Jacqueline_Marval,1866,1932,False,False,False,False,False,False,False,False,False,0,19
45,Maria Sibylla Merian ,https://en.wikipedia.org/wiki/Maria_Sibylla_Merian,1647,1717,True,True,False,True,False,True,False,True,False,5,17
46,Anna Lea Merritt,https://en.wikipedia.org/wiki/Anna_Lea_Merritt,1844,1930,False,False,True,False,True,True,False,True,False,4,19
47,Paula Modersohn-Becker ,https://en.wikipedia.org/wiki/Paula_Modersohn-Becker,1876,1907,False,False,False,False,False,True,True,True,True,4,19
48,Louise Moillon ,https://en.wikipedia.org/wiki/Louise_Moillon,1610,1696,True,False,False,False,False,False,False,False,False,1,17
49,Maria Moninckx,https://en.wikipedia.org/wiki/Maria_Moninckx,1673,1757,True,False,False,False,False,False,False,False,False,1,17
50,Victoria Monkhouse,https://en.wikipedia.org/wiki/Victoria_Monkhouse,1883,1970,False,False,False,False,False,False,False,False,False,0,20
51,Berthe Morisot,https://en.wikipedia.org/wiki/Berthe_Morisot,1841,1895,False,True,True,False,False,False,True,True,False,4,19
52,Mary Moser,https://en.wikipedia.org/wiki/Mary_Moser,1744,1819,True,True,True,False,False,False,False,False,False,3,18
53,Elizabeth Nourse ,https://en.wikipedia.org/wiki/Elizabeth_Nourse,1859,1938,False,False,True,False,False,True,False,False,False,2,19
54,Clara Peeters,https://en.wikipedia.org/wiki/Clara_Peeters,1607,1621,False,True,False,False,False,False,False,False,False,1,17
55,Marie Petiet,https://en.wikipedia.org/wiki/Marie_Petiet,1854,1893,False,True,False,False,False,False,False,False,False,1,19
56,María Luisa Puiggener ,https://es.wikipedia.org/wiki/Mar%C3%ADa_Luisa_Puiggener,1875,1921,False,True,False,False,False,False,False,False,False,1,19
57,Emy Roeder,https://en.wikipedia.org/wiki/Emy_Roeder,1890,1971,False,False,True,False,True,True,False,False,False,3,20
58,Anna Ruysch,https://en.wikipedia.org/wiki/Anna_Ruysch,1666,1754,True,False,False,False,False,False,False,False,False,1,17
59,Rachel Ruysch,https://en.wikipedia.org/wiki/Rachel_Ruysch,1664,1750,True,False,True,False,False,False,True,False,False,3,17
60,Ángeles Santos,https://en.wikipedia.org/wiki/%C3%81ngeles_Santos_Torroella,1911,2013,False,True,False,False,False,False,False,False,False,1,20
61,Helene Schjerfbeck,https://en.wikipedia.org/wiki/Helene_Schjerfbeck,1862,1946,False,True,False,False,False,False,False,False,False,1,19
62,Anna Maria van Schurman,https://en.wikipedia.org/wiki/Anna_Maria_van_Schurman,1607,1678,False,True,True,False,True,False,False,True,True,5,17
63,Zinaiada Serebriakova,https://en.wikipedia.org/wiki/Zinaida_Serebriakova,1884,1967,True,False,False,False,False,True,False,False,False,2,20
64,Anne Seymour Damer ,https://en.wikipedia.org/wiki/Anne_Seymour_Damer,1748,1828,False,False,True,False,False,True,False,True,False,3,18
65,Elisabetta Sirani ,https://en.wikipedia.org/wiki/Elisabetta_Sirani,1638,1665,True,True,True,True,True,False,True,False,False,6,17
66,Elizabeth Sparhawk Jones, https://en.wikipedia.org/wiki/Elizabeth_Sparhawk-Jones,1885,1968,False,True,False,False,False,False,False,False,False,1,20
67,Louisa Tenison ,https://en.wikipedia.org/wiki/Lady_Louisa_Tenison,1820,1882,False,False,False,False,False,True,False,True,False,2,19
68,Suzanne Valadon,https://en.wikipedia.org/wiki/Suzanne_Valadon,1865,1938,False,False,True,False,False,False,True,True,False,3,19
69,Gertrude Vanderbilt Whitney ,https://en.wikipedia.org/wiki/Gertrude_Vanderbilt_Whitney,1875,1942,False,False,False,False,True,True,False,False,False,2,19
70,Lluïsa Vidal ,https://en.wikipedia.org/wiki/Llu%C3%AFsa_Vidal,1876,1918,True,True,False,True,True,True,False,False,False,5,19
71,Louise-Élisabeth Vigée-Le Brun ,https://en.wikipedia.org/wiki/%C3%89lisabeth_Vig%C3%A9e_Le_Brun,1755,1842,True,True,True,True,False,True,True,True,False,7,18
72,Marianne Werefkin ,https://en.wikipedia.org/wiki/Marianne_von_Werefkin,1860,1938,True,False,True,False,False,True,False,True,False,4,19
73,Anne Whitney,https://en.wikipedia.org/wiki/Anne_Whitney,1821,1915,False,False,False,False,True,True,False,True,False,3,19
